File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF314FTK	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF202ITE/	29126441	Gene Yeo, UCSD	e4a5de1c67fe70d74106229f055e7db0		https://www.encodeproject.org/files/ENCFF314FTK/@@download/ENCFF314FTK.bigWig				released	s3://encode-public/2018/05/23/9b097dc6-6222-4a30-91b3-c944a94cf400/ENCFF314FTK.bigWig	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/9b097dc6-6222-4a30-91b3-c944a94cf400/ENCFF314FTK.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF879BYO	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF709VHF/, /files/ENCFF737HQI/	2967126	Gene Yeo, UCSD	c259bbbb805499762c7a14b77891c834		https://www.encodeproject.org/files/ENCFF879BYO/@@download/ENCFF879BYO.bed.gz				released	s3://encode-public/2018/05/23/a0197daa-332e-46ab-b8dc-2d87b848ac6e/ENCFF879BYO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/a0197daa-332e-46ab-b8dc-2d87b848ac6e/ENCFF879BYO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF792GQD	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF884DMT/, /files/ENCFF737HQI/	2628115	Gene Yeo, UCSD	05795e26079f07f6a3ab6e2b388253e8		https://www.encodeproject.org/files/ENCFF792GQD/@@download/ENCFF792GQD.bed.gz				released	s3://encode-public/2018/05/23/ce4ec951-45a3-4c96-8d09-34c9dcc0097b/ENCFF792GQD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/ce4ec951-45a3-4c96-8d09-34c9dcc0097b/ENCFF792GQD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF559ATC	bam	bam		alignments	GRCh38	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		40					/files/ENCFF920RKR/, /files/ENCFF048PWH/	958011535	Gene Yeo, UCSD	5000e35ccac73fa94169174d4d185df1		https://www.encodeproject.org/files/ENCFF559ATC/@@download/ENCFF559ATC.bam				released	s3://encode-public/2018/05/23/59c2f50d-7227-49e7-b5eb-d874bc22aecf/ENCFF559ATC.bam	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/59c2f50d-7227-49e7-b5eb-d874bc22aecf/ENCFF559ATC.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF992ALD	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF559ATC/, /files/ENCFF118WBK/	2910478	Gene Yeo, UCSD	f0ccc33950f4bb7734a9a7c423e9a374		https://www.encodeproject.org/files/ENCFF992ALD/@@download/ENCFF992ALD.bed.gz				released	s3://encode-public/2018/05/23/7d82e925-40b6-4659-b839-ce239030d5ce/ENCFF992ALD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/7d82e925-40b6-4659-b839-ce239030d5ce/ENCFF992ALD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF202ITE	bam	bam		alignments	GRCh38	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		40					/files/ENCFF659GPS/, /files/ENCFF366NPD/	646443738	Gene Yeo, UCSD	13415863a3abaa7e1101bca794883afc		https://www.encodeproject.org/files/ENCFF202ITE/@@download/ENCFF202ITE.bam				released	s3://encode-public/2018/05/23/27fb68ae-96e6-4b0c-8aa1-d9a33716f646/ENCFF202ITE.bam	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/27fb68ae-96e6-4b0c-8aa1-d9a33716f646/ENCFF202ITE.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF591CBW	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF559ATC/	41287826	Gene Yeo, UCSD	a2c58a6cf041f80e6afd36368e9c8431		https://www.encodeproject.org/files/ENCFF591CBW/@@download/ENCFF591CBW.bigWig				released	s3://encode-public/2018/05/23/4f05492c-bf26-4274-b645-857c8a0d8c2a/ENCFF591CBW.bigWig	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/4f05492c-bf26-4274-b645-857c8a0d8c2a/ENCFF591CBW.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF734LHC	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF559ATC/	42526398	Gene Yeo, UCSD	33984f4d99404019fb9b9b5604c22b8f		https://www.encodeproject.org/files/ENCFF734LHC/@@download/ENCFF734LHC.bigWig				released	s3://encode-public/2018/05/23/a840ac5d-e149-4d68-9b0b-1d67fed74728/ENCFF734LHC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/a840ac5d-e149-4d68-9b0b-1d67fed74728/ENCFF734LHC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF197UHX	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF202ITE/	30505389	Gene Yeo, UCSD	40c57689d60a47fdbee7b3a19d0a14fb		https://www.encodeproject.org/files/ENCFF197UHX/@@download/ENCFF197UHX.bigWig				released	s3://encode-public/2018/05/23/52432515-7060-4775-833d-fcb13fadf94f/ENCFF197UHX.bigWig	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/52432515-7060-4775-833d-fcb13fadf94f/ENCFF197UHX.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF061SBF	bigBed narrowPeak	bigBed	narrowPeak	peaks	GRCh38	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF992ALD/	5423732	Gene Yeo, UCSD	192ec9aabf857adc390962902b6775c9		https://www.encodeproject.org/files/ENCFF061SBF/@@download/ENCFF061SBF.bigBed				released	s3://encode-public/2018/05/23/23762394-a9e3-4eee-9e7c-cdde99c7cef4/ENCFF061SBF.bigBed	https://datasetencode.blob.core.windows.net/dataset/2018/05/23/23762394-a9e3-4eee-9e7c-cdde99c7cef4/ENCFF061SBF.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF788LMZ	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF709VHF/, /files/ENCFF884DMT/, /files/ENCFF879BYO/, /files/ENCFF792GQD/, /files/ENCFF737HQI/, /files/ENCFF039QTN/	17640	Gene Yeo, UCSD	1f4d90caa92981f2372cf9831d65fff5		https://www.encodeproject.org/files/ENCFF788LMZ/@@download/ENCFF788LMZ.bed.gz				released	s3://encode-public/2018/06/08/a3d36bb4-9a27-4fdc-b231-0f27cf1fe3a0/ENCFF788LMZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/a3d36bb4-9a27-4fdc-b231-0f27cf1fe3a0/ENCFF788LMZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF678FCX	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR979EWD	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										STAU2-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF202ITE/, /files/ENCFF446NFS/, /files/ENCFF559ATC/, /files/ENCFF269URO/, /files/ENCFF118WBK/, /files/ENCFF992ALD/	18986	Gene Yeo, UCSD	76424f47189e613a0535d0d3c963eb2a		https://www.encodeproject.org/files/ENCFF678FCX/@@download/ENCFF678FCX.bed.gz				released	s3://encode-public/2018/12/03/fad1a3d1-2625-4df4-ac07-ec99e9b54d6b/ENCFF678FCX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/fad1a3d1-2625-4df4-ac07-ec99e9b54d6b/ENCFF678FCX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF356MCF	bam	bam		alignments	hg19	ENCSR970FEW	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1		41					/files/ENCFF560TLH/, /files/ENCFF522NFJ/	393232437	Gene Yeo, UCSD	64fc164125124e66e6bd96f0f0866d4a		https://www.encodeproject.org/files/ENCFF356MCF/@@download/ENCFF356MCF.bam				released	s3://encode-public/2018/04/29/62fb3305-0dcf-4686-9533-3b6af52a8d33/ENCFF356MCF.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/62fb3305-0dcf-4686-9533-3b6af52a8d33/ENCFF356MCF.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF879GTY	bam	bam		alignments	hg19	ENCSR970FEW	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1		41					/files/ENCFF479WLK/, /files/ENCFF939HML/	363873337	Gene Yeo, UCSD	be13189c1253d161e3b73c0203cba9da		https://www.encodeproject.org/files/ENCFF879GTY/@@download/ENCFF879GTY.bam				released	s3://encode-public/2018/04/29/08ca9376-18d5-4ea1-bda9-d62b1c18d235/ENCFF879GTY.bam	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/08ca9376-18d5-4ea1-bda9-d62b1c18d235/ENCFF879GTY.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF504QEC	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR970FEW	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF879GTY/	19296291	Gene Yeo, UCSD	04a0da3844d1edf04fa690d0e015a9d9		https://www.encodeproject.org/files/ENCFF504QEC/@@download/ENCFF504QEC.bigWig				released	s3://encode-public/2018/04/29/fcf44f75-a6d3-49cd-9516-a93aa3113f63/ENCFF504QEC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/fcf44f75-a6d3-49cd-9516-a93aa3113f63/ENCFF504QEC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF299YXS	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR970FEW	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF356MCF/	21111702	Gene Yeo, UCSD	0b808c74fe1904c26b31b6e3592641c8		https://www.encodeproject.org/files/ENCFF299YXS/@@download/ENCFF299YXS.bigWig				released	s3://encode-public/2018/04/29/757aaa57-20d0-4c55-9823-b5367dd670f4/ENCFF299YXS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/757aaa57-20d0-4c55-9823-b5367dd670f4/ENCFF299YXS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF945OFF	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR970FEW	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF879GTY/	19766621	Gene Yeo, UCSD	ca7b9ee3e09ceb04bf8351e7a0b45254		https://www.encodeproject.org/files/ENCFF945OFF/@@download/ENCFF945OFF.bigWig				released	s3://encode-public/2018/04/29/1126087c-db10-42b9-bf76-02c69a47a4f0/ENCFF945OFF.bigWig	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/1126087c-db10-42b9-bf76-02c69a47a4f0/ENCFF945OFF.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF953HPK	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR970FEW	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										DDX52-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF356MCF/	21528333	Gene Yeo, UCSD	0fa74128c9cdde1bba7002b7e02a6b8a		https://www.encodeproject.org/files/ENCFF953HPK/@@download/ENCFF953HPK.bigWig				released	s3://encode-public/2018/04/29/5625cf0f-fa6b-40ec-8059-71f8efc19d2c/ENCFF953HPK.bigWig	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/5625cf0f-fa6b-40ec-8059-71f8efc19d2c/ENCFF953HPK.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
